keyword,stdAccName,stdAccType
impairment provision,impairment - current,current asset
impairment,impairment - current,current asset
income advance,income in advance,current liability
intangible,intangibles,non-current asset
intangible asset,intangibles,non-current asset
interest bearing liabilit,loans payable,current liability
inventor,stock on hand,current asset
investment trust,investment trust,non-current asset
investment,investments (current),current asset
investments accounted equity method,investments (non-current),non-current asset
issued capital,issued capital,equity
jag,vehicles,non-current asset
jaguar,vehicles,non-current asset
kitchen building,buildings,non-current asset
land,land,non-current asset
land at cost,land,non-current asset
land building,buildings,non-current asset
land historical cost,land,non-current asset
laundry building,buildings,non-current asset
lease liabilit,lease liability (current),current liability
lease bond,security deposit,non-current asset
leasehold improvements cost,property improvements,non-current asset
leashold assets,buildings,non-current asset
library resources,"computer systems, software & equipment",non-current asset
library resources,plant & equipment,non-current asset
loan,loans receivable,current asset
loan advance,loans payable,current liability
loan current,loans payable,current liability
loan non-current,loans payable (non-current),non-current liability
loan non-current,loans receivable (non-current),non-current asset
long service,provision for leave,current liability
long service leave,provision for leave,current liability
lsl,provision for leave,current liability
maintenance building,buildings,non-current asset
maserati,vehicles,non-current asset
mastercard,credit cards,current liability
mazda,vehicles,non-current asset
medical building,buildings,non-current asset
member fund,members funds,equity
motor vehicle loan,loans payable,current liability
nab,cash & cash equivalents,current asset
net income,current year profits,equity
net loss,current year profits,equity
non-controlling interests,non-controlling interests,equity
non-current bonds paid,loans payable (non-current),non-current liability
office equipment,furniture & fittings,non-current asset
office fittings furniture,furniture & fittings,non-current asset
operating deficit,current year profits,equity
operating surplus,current year profits,equity
ordinary share,issued capital,equity
other financial asset,investments (current),current asset
other liabilities,accounts payable,current liability
other loan,loans receivable,current asset
other loan  non-current,loans receivable (non-current),non-current asset
other loan current,loans receivable,current asset
other payable,accounts payable,current liability
other payables,accounts payable,current liability
other receivable,accounts receivable,current asset
other taxes,taxes,current liability
partner entitlements,partners entitlements,equity
payable,accounts payable,current liability
payg withholding,payg withholding,current liability
payg,payg withholding,current liability
payg payable,payg withholding,current liability
paypal,cash & cash equivalents,current asset
payroll liabilit,provision for salaries & wages,current liability
payroll liabilities,provision for salaries & wages,current liability
permanent fund,members funds,equity
petty cash,cash & cash equivalents,current asset
petty cash,cash & cash equivalents,current asset
pinaroo general building,buildings,non-current asset
plan management clearing account,loans payable,current liability
plant,plant & equipment,non-current asset
prepaid expenses,prepaid expenses,current asset
prepaid membership,prepaid current liability,current liability
prepaid rent,prepaid current liability,current liability
prior year adjustment,prior year adjustment,equity
properties,buildings,non-current asset
property,buildings,non-current asset
property,property,non-current asset
property improvement,property improvements,non-current asset
provision unearned income,provision for unearned revenue,current asset
provision unearned revenue,provision for unearned revenue,current asset
provision,provisions,current liability
provision current,provisions,current liability
provision current liabilities,provisions,current liability
provision current liability,provisions,current liability
provision dividend,provision for dividends,current liability
provision expected credit losses,provision for unearned revenue,current asset
provision income tax,provision for income tax,current liability
provision long service leave-non current,provision for leave (non-current),non-current liability
provision non current liabilities,provisions (non-current),non-current liability
provision non current liability,provisions (non-current),non-current liability
provision non-current,provisions (non-current),non-current liability
provision non-current liabilities,provisions (non-current),non-current liability
provision non-current liability,provisions (non-current),non-current liability
provisions non current,provisions (non-current),non-current liability
raw materials,stock on hand,current asset
receivable,accounts receivable,current asset
receivable,accounts receivable (non-current),non-current asset
related party loan,loans receivable (related),current asset
rent bond,rental & accommodation bonds,non-current liability
reserve,reserves,equity
reserve,reserves,equity
reserves,reserves,equity
retained earning,retained earnings at end of year,equity
retained earning beginning year,retained earnings at beginning of year,equity
retained earnings end year,retained earnings at end of year,equity
retained profit,retained earnings at end of year,equity
retained fund,retained earnings at end of year,equity
retained funds,retained earnings at end of year,equity
retained surplus,retained earnings at beginning of year,equity
retained surpluses,current year profits,equity
revaluation surplus,revaluation surplus,equity
security deposit,security deposit,non-current asset
settled sum,other equity,equity
settlement capital,other equity,equity
settlement sum,members funds,equity
settlement sum,other equity,equity
shares,shares,non-current asset
short term deposit,cash & cash equivalents,current asset
short-term deposit,cash & cash equivalents,current asset
sick leave,provision for leave,current liability
software,"computer systems, software & equipment",non-current asset
special purpose funds,special purpose funds,equity
start up cost,formation & startup,non-current asset
start up expense,formation & startup,non-current asset
stock on hand,stock on hand,current asset
stock transit,stock in transit,current asset
suncorp business invest acc,cash & cash equivalents,current asset
suncorp investor acc,cash & cash equivalents,current asset
sundry creditor,accounts payable,current liability
superannuation,superannuation payable,current liability
superannuation payable,superannuation payable,current liability
surplus loss year,current year profits,equity
suspense,suspense,non-current liability
suspense account,suspense,non-current liability
tax liabilities,taxes,current liability
tax,taxes,current liability
term deposit,deposits (current),current asset
total building stage valuation,buildings,non-current asset
total receiveables current,accounts receivable,current asset
toyota,vehicles,non-current asset
tractor,vehicles,non-current asset
trade creditor,accounts payable,current liability
trade other payable,accounts payable,current liability
trade other receivable,accounts receivable,current asset
trade payable,accounts payable,current liability
Cash and cash equivalents,NA,current asset
Trade and other receivables,NA,current asset
Prepayments,NA,non-current asset
Assets classified as held for sale,NA,non-current asset
Other financial assets,NA,current asset
Plant and equipment,NA,non-current asset
Other financial assets,NA,current asset
Trade and other payables un,NA,current asset
Deferred Income,NA,current liability
Provisions n,NA,non-current asset
Trust fund liability B,NA,equity
Total current liabi,NA,current liability
Non-current lal,NA,non-current liability
Provisions,NA,non-current asset
Retained earnings,NA,equity
15
